t(øC),Density(g/cm3),Cp(J/g K),Vap. pres.(kPa),Visc.(æPa s),Ther. cond.(mW/K m),Diel. const.,Surf. ten.(mN/m)
0,0.99984,4.2176,0.6113,1793.0,561.0,87.9,75.64
10,0.9997,4.1921,1.2281,1307.0,580.0,83.96,74.23
20,0.99821,4.1818,2.3388,1002.0,598.4,80.2,72.75
30,0.99565,4.1784,4.2455,797.7,615.4,76.6,71.2
40,0.99222,4.1785,7.3814,653.2,630.5,73.17,69.6
50,0.98803,4.1806,12344.0,547.0,643.5,69.88,67.94
60,0.9832,4.1843,19932.0,466.5,654.3,66.73,66.24
70,0.97778,4.1895,31176.0,404.0,663.1,63.73,64.47
80,0.97182,4.1963,47373.0,354.4,670.0,60.86,62.67
90,0.96535,4205.0,70117.0,314.5,675.3,58.12,60.82
100,0.9584,4.2159,101325.0,281.8,679.1,55.51,58.91
